
  ----- YM PROFILES ------------------------------------------

         ym          U         u'          W         w'          P         p'
  7.18828212E-01  1.08252032E+00  1.18405068E-01  9.55602459E-04  7.24682231E-02 -4.22445140E-03  8.82347754E-03
  7.23564406E-01  1.07931504E+00  1.19401799E-01  9.50324264E-04  7.26206342E-02 -4.20460969E-03  8.86018879E-03
  7.28236112E-01  1.07609311E+00  1.20415166E-01  9.43462027E-04  7.27636877E-02 -4.18322663E-03  8.89589955E-03
  7.32844207E-01  1.07285313E+00  1.21444541E-01  9.35077808E-04  7.28970474E-02 -4.16027813E-03  8.93058647E-03
  7.37389559E-01  1.06959368E+00  1.22489188E-01  9.25299208E-04  7.30204848E-02 -4.13574335E-03  8.96422514E-03
  7.41873020E-01  1.06631326E+00  1.23548388E-01  9.14314251E-04  7.31338741E-02 -4.10960554E-03  8.99679146E-03
  7.46295435E-01  1.06301032E+00  1.24621520E-01  9.02350712E-04  7.32371731E-02 -4.08185280E-03  9.02826287E-03
  7.50657633E-01  1.05968326E+00  1.25708087E-01  8.89647357E-04  7.33303985E-02 -4.05247866E-03  9.05861957E-03
  7.54960436E-01  1.05633040E+00  1.26807697E-01  8.76426279E-04  7.34136009E-02 -4.02148248E-03  9.08784516E-03
  7.59204651E-01  1.05295000E+00  1.27920034E-01  8.62872410E-04  7.34868454E-02 -3.98886957E-03  9.11592684E-03
  7.63391077E-01  1.04954024E+00  1.29044825E-01  8.49121763E-04  7.35501988E-02 -3.95465092E-03  9.14285497E-03
  7.67520500E-01  1.04609922E+00  1.30181806E-01  8.35257333E-04  7.36037244E-02 -3.91884273E-03  9.16862236E-03
  7.71593696E-01  1.04262491E+00  1.31330694E-01  8.21311369E-04  7.36474840E-02 -3.88146574E-03  9.19322328E-03
  7.75611431E-01  1.03911516E+00  1.32491176E-01  8.07273205E-04  7.36815485E-02 -3.84254451E-03  9.21665243E-03
  7.79574461E-01  1.03556765E+00  1.33662896E-01  7.93101310E-04  7.37060127E-02 -3.80210681E-03  9.23890397E-03
  7.83483530E-01  1.03197991E+00  1.34845464E-01  7.78737238E-04  7.37210130E-02 -3.76018304E-03  9.25997081E-03
  7.87339373E-01  1.02834934E+00  1.36038444E-01  7.64118647E-04  7.37267414E-02 -3.71680579E-03  9.27984419E-03
  7.91142714E-01  1.02467318E+00  1.37241358E-01  7.49189279E-04  7.37234526E-02 -3.67200967E-03  9.29851366E-03
  7.94894268E-01  1.02094853E+00  1.38453660E-01  7.33905208E-04  7.37114597E-02 -3.62583114E-03  9.31596741E-03
  7.98594741E-01  1.01717241E+00  1.39674728E-01  7.18237884E-04  7.36911193E-02 -3.57830856E-03  9.33219284E-03
  8.02244829E-01  1.01334173E+00  1.40903836E-01  7.02174895E-04  7.36628105E-02 -3.52948224E-03  9.34717714E-03
  8.05845216E-01  1.00945329E+00  1.42140151E-01  6.85719103E-04  7.36269191E-02 -3.47939452E-03  9.36090799E-03
  8.09396580E-01  1.00550380E+00  1.43382737E-01  6.68886558E-04  7.35838307E-02 -3.42808972E-03  9.37337406E-03
  8.12899589E-01  1.00148989E+00  1.44630579E-01  6.51703640E-04  7.35339323E-02 -3.37561420E-03  9.38456553E-03
  8.16354900E-01  9.97408039E-01  1.45882618E-01  6.34204062E-04  7.34776121E-02 -3.32201626E-03  9.39447442E-03
  8.19763164E-01  9.93254634E-01  1.47137788E-01  6.16426317E-04  7.34152533E-02 -3.26734600E-03  9.40309481E-03
  8.23125020E-01  9.89025939E-01  1.48395046E-01  5.98411875E-04  7.33472186E-02 -3.21165524E-03  9.41042286E-03
